🇨🇳说明,#genre#
密码获取,https://download.kstore.space/download/2876/fl/31/55/0878/qp.mp4
所有资源,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg197E4gUozOqwrwU.mp4
皆来自网络,https://50069.njc.svp.tencent-cloud.com/0bc3cyab4aaawaaolwla4jrfafwddylaahqa.f10002.mp4
懒癌晚期,https://50069.njc.svp.tencent-cloud.com/0bf27yaa2aaaniaap3bl4nqvb7wdbx7aadia.f10004.mp4
不定期维护,https://50069.njc.svp.tencent-cloud.com/0bc3ruabyaaajiagzhc765rfbdoddsgqahaa.f10003.mp4

🇨🇳群友定制,#genre#
怀集音乐电台,https://cnlive.cnr.cn/hls/hjyyzs.m3u8
清晨音乐台,https://live.ximalaya.com/radio-first-page-app/live/1011/64.m3u8?transcode=ts
广东音乐之声,https://live.ximalaya.com/radio-first-page-app/live/74/64.m3u8?transcode=ts
深圳飞扬971,https://live.ximalaya.com/radio-first-page-app/live/263/64.m3u8?transcode=ts
1766私房音樂,http://livestream.1766.today:1769/live1.mp3
181FM,http://relay.181.fm:8128
500首華語經典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64
80後音樂台,http://stream3.hndt.com/now/SFZeH2cb/playlist.m3u8
AsiaFM HD音樂台,http://asiafm.hk:8000/asiahd
AsiaFM 亞洲天空台,http://funradio.cn:8000/funradio
AsiaFM 亞洲音樂台,http://asiafm.hk:8000/asiafm
AsiaFM 亞洲經典台,http://goldfm.cn:8000/goldfm
Big B Radio-中文流行,http://cpop.bigbradio.net/s
Big B Radio-日語流行,http://jpop.bigbradio.net/s
Big B Radio-洲流行,http://apop.bigbradio.net/s
Big B Radio-韓語流行,http://kpop.bigbradio.net/s
CityFM台南之音,http://fm971.cityfm.tw:8080/971.mp3
cnr經典音樂,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CRI 中文環球廣播,http://sk.cri.cn/hyhq.m3u8
CRI 南海之聲,http://sk.cri.cn/nhzs.m3u8
CRI 輕鬆調頻 FM91.5,http://sk.cri.cn/915.m3u8
Modern Radio,http://play.redefine.ltd/Stream1/FM1058-1.m3u8
New Pop Hits,http://rfcmedia.streamguys1.com/newpophitspremium.mp3
News98新聞台,http://n08.rcs.revma.com/55tyxsy4qtzuv?rj-ttl=5&rj-tok=AAABexIiGVkA-wjPtoygVgeNGQ
News98新聞台,http://stream.rcs.revma.com/55tyxsy4qtzuv
RFI法國國際廣播電臺,http://rfichinois96k.ice.infomaniak.ch/rfichinois-96k.mp3
上海動感101,http://ls.qingting.fm/live/274.m3u8
中廣流行網,http://stream.rcs.revma.com/aw9uqyxy2tzuv
