央视,#genre#
CCTV-1,http://64448yz621.imdo.co:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV-2,http://64448yz621.imdo.co:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv
CCTV-3,http://64448yz621.imdo.co:9901/tsfile/live/1002_1.m3u8?key=txiptv
CCTV-4,http://64448yz621.imdo.co:9901/tsfile/live/faacts/1003_1.m3u8?key=txiptv
CCTV-5,http://64448yz621.imdo.co:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV-5+,http://dbptwc2c.v3n.pkoplink.com:808/tsfile/live/0018_1.m3u8?key=txiptv
CCTV-6,http://64448yz621.imdo.co:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV-7,http://64448yz621.imdo.co:9901/tsfile/live/faacts/0007_1.m3u8?key=txiptv
CCTV-8,http://64448yz621.imdo.co:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV-9,http://64448yz621.imdo.co:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV-10,http://64448yz621.imdo.co:9901/tsfile/live/faacts/0010_1.m3u8?key=txiptv
CCTV-11,http://64448yz621.imdo.co:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV-12,http://64448yz621.imdo.co:9901/tsfile/live/faacts/0012_1.m3u8?key=txiptv
CCTV-13,http://64448yz621.imdo.co:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-14,http://64448yz621.imdo.co:9901/tsfile/live/faacts/0014_1.m3u8?key=txiptv
CCTV-15,http://64448yz621.imdo.co:9901/tsfile/live/faacts/0015_1.m3u8?key=txiptv
CCTV-16,http://dbptwc2c.v3n.pkoplink.com:808/tsfile/live/0016_1.m3u8?key=txiptv
CCTV-17,http://64448yz621.imdo.co:9901/tsfile/live/1029_1.m3u8?key=txiptv
CETV-1,http://dbptwc2c.v3n.pkoplink.com:808/tsfile/live/1035_1.m3u8?key=txiptv
CETV-2,http://dbptwc2c.v3n.pkoplink.com:808/tsfile/live/1038_1.m3u8?key=txiptv
CETV-4,http://dbptwc2c.v3n.pkoplink.com:808/tsfile/live/1039_1.m3u8?key=txiptv
CCTV-风云剧场,http://64448yz621.imdo.co:9901/tsfile/live/1024_1.m3u8?key=txiptv
CCTV-怀旧剧场,http://64448yz621.imdo.co:9901/tsfile/live/1025_1.m3u8?key=txiptv
CCTV-风云足球,http://64448yz621.imdo.co:9901/tsfile/live/1027_1.m3u8?key=txiptv


央视卫视,#genre#
