央视频道,#genre#

CCTV-1,http://101.228.122.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://101.228.122.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://101.228.122.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://101.228.122.236:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://101.228.122.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://101.228.122.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://101.228.122.236:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://101.228.122.236:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://101.228.122.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://101.228.122.236:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://101.228.122.236:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://101.228.122.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://101.228.122.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://101.228.122.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://101.228.122.236:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0






CCTV-1,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV1
CCTV-2,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV2
CCTV-3,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV3
CCTV-4,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV4
CCTV-5,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV5
CCTV-5+,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV5pro
CCTV-6,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV6
CCTV-6,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV6HD
CCTV-7,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV7
CCTV-8,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV8
CCTV-9,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV9
CCTV-10,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV10
CCTV-11,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV11
CCTV-12,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV12
CCTV-13,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV13
CCTV-14,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV14
CCTV-15,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV15
CCTV-16,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV16
CCTV-4K,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV16-4k
CCTV-17,http://fmtv.wifi942.com:9999/api/proxy/ysp.php?id=CCTV17
CCTV兵器科技,http://dl.wifi942.com:66/test/ysp.php?id=bqkj
