
央视频道,#genre#


CCTV-1,http://114.249.18.134:4022/rtp/239.3.1.129:8008
CCTV-2,http://114.249.18.134:4022/rtp/239.3.1.60:8084
CCTV-3,http://114.249.18.134:4022/rtp/239.3.1.172:8001
CCTV-4http://114.249.18.134:4022/rtp/239.3.1.105:8092
CCTV-5,http://114.249.18.134:4022/rtp/239.3.1.173:8001
CCTV-5+,http://114.249.18.134:4022/rtp/239.3.1.130:8004
CCTV-6,http://114.249.18.134:4022/rtp/239.3.1.174:8001
CCTV-7,http://114.249.18.134:4022/rtp/239.3.1.61:8104
CCTV-8,http://114.249.18.134:4022/rtp/239.3.1.175:8001
CCTV-9,http://114.249.18.134:4022/rtp/239.3.1.62:8112
CCTV-10,http://114.249.18.134:4022/rtp/239.3.1.63:8116
CCTV-11,http://114.249.18.134:4022/rtp/239.3.1.152:8120
CCTV-12,http://114.249.18.134:4022/rtp/239.3.1.64:8124
CCTV-13,http://114.249.18.134:4022/rtp/239.3.1.124:8128
CCTV-14,http://114.249.18.134:4022/rtp/239.3.1.65:8132
CCTV-15,http://114.249.18.134:4022/rtp/239.3.1.153:8136
CCTV-16,http://114.249.18.134:4022/rtp/239.3.1.184:8001
CCTV-17,http://114.249.18.134:4022/rtp/239.3.1.151:8144
CCTV-4欧洲,http://114.249.18.134:4022/rtp/239.3.1.213:4220
CCTV-4美洲,http://114.249.18.134:4022/rtp/239.3.1.214:4220
CGTN 新闻,http://114.249.18.134:4022/rtp/239.3.1.215:4220
CGTN 记录,http://114.249.18.134:4022/rtp/239.3.1.216:4220
CGTN 西班牙语,http://114.249.18.134:4022/rtp/239.3.1.217:4220
CGTN 法语,http://114.249.18.134:4022/rtp/239.3.1.218:4220
CGTN 阿拉伯语,http://114.249.18.134:4022/rtp/239.3.1.219:4220
CGTN 俄语,http://114.249.18.134:4022/rtp/239.3.1.220:4220





CCTV-1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-3,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-5,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-7,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-8,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-9,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=tvbox6_com&playlive=1&authid=0
CCTV-10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=tvbox6_com&playlive=1&authid=0
